claim_id,file_path,start_offset,end_offset,sentence,context_left,context_right
0d8699eb52b697b4a6694bff75a3cfb044c2f87a,",Antiepileptogenesis and disease modification- Progress, challenges, and the path forward.txt",21049,21115,"a brain insult, such as a TBI, would be of significant clinical",opment of epilepsy after   GALANOPOULOU et AL.    ,"value, the vast majority of patients present with "
0a37fa59b21ebca459802a85fb65f13457ecd408,",Antiepileptogenesis and disease modification- Progress, challenges, and the path forward.txt",23379,23447,"epilepsy  is  associated  with  significant  morbidity,  including","  than  30%  of  patients.35,36  Drug- resistant  ","decreased  quality  of  life,  increased  injury  "
a972abc2d401886ce173fdf97120cff1c1931ea5,",Antiepileptogenesis and disease modification- Progress, challenges, and the path forward.txt",24961,24988,are significantly improved.,"uding psychiatric comorbidities and death rates,  ","43- 51 Unfortunately, less than 5%  of patients wi"
0de192732368145365a74de119f54f1e1cfc20a9,",Antiepileptogenesis and disease modification- Progress, challenges, and the path forward.txt",32551,32613,most need of gene replacement can be a significant technical,ne  replacement  machinery  into  the  cells  in  ,"challenge.  For  SMA,  the  lower  motor  neurons "
34bf7ec1c4d4279d47e7c6d198812f247b08ace3,",Antiepileptogenesis and disease modification- Progress, challenges, and the path forward.txt",38181,38227,ease and significantly alleviate the symptoms.,arch for drugs that may favorably modify the dis- ," The intention of  current research, however, is t"
e2f9c39636bc1efa0e8a0f4d6d3553658123a8d1,",Antiepileptogenesis and disease modification- Progress, challenges, and the path forward.txt",69447,69511,"cannot fully predict safety or tolerability in humans,122 they","ena.86,87,125- 133  Even  though  animal  models  ",have offered insights toward potential mechanisms 
ac18449ce45465cb696beb1b90a8a5918bb0af59,",Antiepileptogenesis and disease modification- Progress, challenges, and the path forward.txt",85615,85681,Despite  the  significant  progress  in  epilepsy  research  and,and  their  comorbidities.  6   |  CONCLU S IONS  ,"therapeutics,  there  is  an  urgent  need  to  id"
eb9ca072e829615499d4095661d683bf19d5ef2a,",Antiepileptogenesis and disease modification- Progress, challenges, and the path forward.txt",86334,86352,A  significant,un- derlying  epileptogenesis  and  comorbidities.,gap is the difficulty in translating and validatin
c1d165b066c878655465d215bc4a3fc50d6840ab,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",6628,6688,"significant  health  challenges,  including  an  increased",roductivity. Individuals with epilepsy also face  ,risk of premature death from sudden unexpected dea
78d525b772d63f882f9212e8df7f34d7ead45023,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",7015,7072,"Despite  significant  advances  in  epilepsy  research,",ities and barriers to accessing  effective care.  ,critical  gaps  remain.  While  a  large  number  
1cf948c1ca87f5aecd5556188bc99a10949f4e21,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",14303,14362,"everolimus, for the treatment of seizures associated with","e example is the use of mTOR inhibitors, such as  ",tuberous  sclerosis  complex  (TSC).  Earlier  int
d2564247f3700eae2b676ffbfd0d00026b75e20a,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",24570,24606,Although significant research has,epsy prevention using ap- propriate methodologies.,"already been conducted in this area, further work "
18df7734cb1f2d30b6dce203c0f0acb4ab2f614c,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",28037,28095,duration of epilepsy being independently associated with,"gery is the duration of epilepsy, with a shorter  ","better  outcomes,38–40  as  outlined  in  the  rep"
afb3c461b8a0eb13146e10f3b5fd58ced6855454,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",28407,28470,"seizure  freedom,  significantly  increasing  the  chance  of",the  benefit  of  improving  the  likelihood  of  ,weaning of ASMs and the potential of preserving or
727d125ba3c527690665e0df5b7bbb0f039058bc,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",31813,31879,Significant  advances  in  epilepsy  genetics  have  led  to  an,5  TA RGETED T HERAPIES  5.1   |  The challenges  ,ever- increasing diagnostic yield and the emergenc
e8b0a3dfb6fc8d3098dede75c9b26ca88e11c564,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",42742,42789,"6 years from surgery, linked to ASM withdrawal.",  showed  gains  in  cognitive  function  beyond  ,63 A re- cent study evaluating 500 children who ha
07a80b06cda492c33d41b40ca173c0a3eff35111,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",43305,43363,but was significantly related to a higher IQ and IQ gain,"se  long- term  post- surgery  seizure  outcome,  ",proportionally to number of ASMs discontinued.66  
0958d49d9c41a754473c66abf00c926537cfe827,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",43985,44046,"69  Additionally,  a  significant  proportion  of  patients",uence the chance of undergoing epilepsy sur- gery.,"do not achieve seizure freedom, and the causes of "
4b701727499fadc9739ee71e120e03f8c834cf07,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",50788,50819,|  Challenges associated with,"ment, especially in rare and complex epilepsies.  "," 7.1  traditional trial designs  |  301  concerns,"
6708f5038d18a9793d43439d9e20cb9f6890d27f,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",54373,54435,of these epilepsies are associated with highly variable clin-,oups and patients with high seizure burden. Some  ,"ical manifestations and seizure types, which compl"
4b6aaa430a3d6a0e24466393b581715bba1f8244,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",57031,57085,types) have been used to predict treatment responders.,"tient  data  (e.g.,  genetic  profiles,  seizure  "," In  the  case  of  brivaracetam,  this  approach "
952893719029a5126a691dd7a10aa9d509a91aa1,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",63703,63764,"ualize dosing, and predict adverse effects, leading to more"," enhance patient selection, optimize and individ- ",successful trials and reduced failure rates.104 Bi
a3bec6eb530c3271748715d9ad0f556f099a29da,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",64488,64540,dilemmas associated with placebo- controlled trials.,l  Practice  (GCP)  can  also  mitigate  ethical  ,"118,130  Well- designed syndrome- specific registr"
efb81d5dcf249bec791a4650f5070070caa898f2,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",68877,68940,"mize  the  use  of  human  resources,  predict  outcomes  and","machine  learning  to  improve  diagnosis,  opti- ","treatment  response,  and  improve  the  efficienc"
4495c82f090d93756fe0bfaa249417554e9c2e7e,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",70841,70899,"even predict imminent seizures,141 providing critical in-",me EEG data to detect seizures as they occur and  ,formation  for  timely  intervention.  A  critical
7e83e1b20e1d4540558e38671e7e9b9137b591ae,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",71605,71670,"pathologies,  such  as  Alzheimer  disease149  and  to  predict",h between temporal lobe epilepsy (TLE) and other  ,surgical outcome.150–152  The  gap  in  histopatho
029a2fecbda00270b3c364937dfbf5769ed5a3bb,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",72631,72691,be trained to also recognize and predict the underlying ge-,"as yet.37 On the other hand, such algorithms can  ",netic alteration in a given focal epilepsy- associ
b4ed62440e9c13874e441783960d8134738ea763,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",72946,73008,"associated  with  epilepsy,162  to  predict  epilepsy  pheno-",o  been  used  to  identify  genetic  variations  ,types and predict the effect of pathogenic variant
eb500b47247adcbb7dac3f173f5fc02f34f83484,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",73008,73060,types and predict the effect of pathogenic variants.,"with  epilepsy,162  to  predict  epilepsy  pheno- "," For  example, a model trained on SCN1A variants w"
f98133bc7ec818349c5913c0c420df259f96af31,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",73122,73178,predict the likelihood of Dravet versus GEFS+163 and a,"e, a model trained on SCN1A variants was used to  ",model trained on missense variants in voltage- gat
03f706bd5ad41f57ef5e5a11d8a3067b34a31601,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",73235,73290,dium and calcium channels was used to predict whether,rained on missense variants in voltage- gated so- ,the  variants  are  pathogenic  and  whether  they
d62d8e4eb0d8c276fced3cfab3557212d5145932,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",73541,73596,associated with neurodevelopmental diseases including,the  protein  structure  of  hundreds  of  genes  ,epilepsy.165  |  What should be improved and   8.3
177001a70e0a35626d8160ae75b85c11f0a00b72,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",79045,79104,"which may be linked to epilepsy itself, to the adverse ef-",dity  and  mortality  in  people  with  epilepsy  ,"fects of ASMs, or to the acute and remote effects "
2508c5a5d77528b3e9b30868e4f347085fd81b74,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",79780,79810,linked to convulsive seizures.,ctal complications are very rare and are usually  ,173 Successful seizure control  by regular adminis
6dc842e521c7664bbcdb1207fa4eab3d0f1c8440,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",82778,82846,more  severe  intellectual  disability  is  significantly  associ-,s and social difficulties. A   TCHAICHA et al.    ,ated with increased behavioral problems.183  The  
